市场调节	要缺点：只有“有计划按比例”这一条，没有在社会主义制度下还必须有·市·场·调·节这一条。所谓市场调节，就是按价值规律调节，在经济生活的某些方面可以用“无政府”、“盲目”生产的办法来加以调节。现在的计划太死，包括的东西太多，结果必然出现缺少市场自动调节的部分。计划又时常脱节，计划机构忙于日常调度。因为市场调节受到限制，而计划又只能对大路货、主要品种作出计划数字，因此生产不能丰富多彩，人民所需日用品十分单调。（三）·整·个社会主义时期必须有两种经济：（１）计划经济部分（有计划按比例的部分）；（２）市<br>— 陈云 · 《陈云文选·第三卷》 · p257	陈云 陈云文选第三卷 概念
综合平衡	高的幅度，另行规定。地方除了用中央的拨款举办基本建设以外，还可以用自己的收入举办一部分基本建设。为了合理的分配基本建设所需要的物资，并且照顾全国的产供销平衡，地方对于这一部分基本建设投资，应该连同中央对地方基本建设拨款的部分，一并提出计划草案，报经中央主管部门统一审核，综合平衡，纳入国家整个基本建设计划。第五，地方机动财力收入的限度。地方固定收入、企业分成收入和调剂分成收入等三种收入都是年年增长的；企业分成收入和调剂分成收入所规定的比例三年不变，在同一比例下，收入的绝对金额也是逐年增长的。使地方得到一定数量的机动财力，是这次财政体制改进的主要目的。但是，地方由于改进财政体制而多得的收入，应该有一个限度，它的原则是使地方可以有适当数量的机动财力，同时又能够保证国家重点建设<br>— 陈云 · 《陈云文选·第三卷》 · p115	陈云 陈云文选第三卷 概念
条条	涉及的核心问题就是如何把集中于计划管理部门（即中央条条部门）<br>— 周黎安 · 《转型中的地方政府》 · p122	周黎安 转型中的地方政府 概念
行政发包	[28] 这里说的行政发包程度主要是指决策权和执行权是更偏重于承<br>— 周黎安 · 《转型中的地方政府》 · p102	周黎安 转型中的地方政府 概念
转移支付	山东、广西，即省级财政在分配转移支付等补助资金时，直接核定到<br>— 周黎安 · 《转型中的地方政府》 · p184	周黎安 转型中的地方政府 概念
转移支付	所以说，改革前后中央一地方关系发生了实质性的变化，即从改革前讨价还价的关系变成了改革后地方主要依靠中央拨付转移支付补助的关系<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
一统体制	简言之，维系一统体制的两个核心组织<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p30	周雪光 中国国家治理的制度逻 概念
民族主义	这就是说，他代表一种极其典型的结合（对于他的时代，而且我猜想，对于我们的时代来说是典型的），即把民主——个人主义的因素和集体——民族主义的因素结合起来<br>— 波普尔 · 《历史决定论的贫困》	波普尔 历史决定论的贫困 概念
国家与社会	道政府与社会组织之间所谓的国家与社会的边界其实是“伪”边界。<br>— 周黎安 · 《转型中的地方政府》 · p432	周黎安 转型中的地方政府 概念
社会运动	历史决定论的作者常常坚持说，社会学同样应该以社会动力学为根据，即以关于社会的（或历史的）力量决定社会运动的理论为根据<br>— 波普尔 · 《历史决定论的贫困》	波普尔 历史决定论的贫困 概念
分权	企业为主体，中央和地方分权的核心在于谁拥有对于所属国有企业的<br>— 周黎安 · 《转型中的地方政府》 · p368	周黎安 转型中的地方政府 概念
分权	对于两个重要的问题，即现行制度和政策是①王绍光(1997 ）. 《分权的底限》，中国计划出版社<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
唯实	“唯实主义”是一个容易使人误解的名称，因为这个“唯实主义的”理论也一直被称为“唯心主义的”<br>— 波普尔 · 《历史决定论的贫困》	波普尔 历史决定论的贫困 概念
唯实	干净，产苗猪多，苗猪成活率高。公养母猪喂食不分大小、强弱，像开“大锅饭”，猪圈脏得很，母猪流产多，苗猪成活率低。通过这次调查，得出一个结论，就是大部分母猪也应该下放给农民私养。总之，后一种调查研究，你们浙江可以试一试。你们要在各行各业广交知心朋友。军队也可以这样做。军队非常、非常、非常重要。对于党的指示，军队一定要坚决执行。去年解决北京天安门的事〔３０１〕，没有军队不行。一定要把军队建设好。３７３不唯上、不唯书、只唯实，交换、比较、反复<br>— 陈云 · 《陈云文选·第三卷》 · p385	陈云 陈云文选第三卷 概念
压力型体制	根据荣敬本等（1998）的定义，所谓“压力型体制”，就是指一级政<br>— 周黎安 · 《转型中的地方政府》 · p359	周黎安 转型中的地方政府 概念
总额分成	这里的总额分成是指地方负责组织的总收入和地方财政总支<br>— 周黎安 · 《转型中的地方政府》 · p148	周黎安 转型中的地方政府 概念
代理方	抉择是指这样的情形：代理方对来自上级部门的压力，<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p185	周雪光 中国国家治理的制度逻 概念
属地化	但是漕运和盐政仍然是按照属地化的原则管理的，即它们所要求的人<br>— 周黎安 · 《转型中的地方政府》 · p72	周黎安 转型中的地方政府 概念
