:START_ID,:END_ID,:TYPE
a_100545,t_8,IN_TOPIC
a_100545,t_1204,IN_TOPIC
a_100545,t_15,IN_TOPIC
a_100545,t_31,IN_TOPIC
a_100545,t_1118,IN_TOPIC
a_100545,t_1180,IN_TOPIC
a_100545,t_1131,IN_TOPIC
a_100545,t_17,IN_TOPIC
a_100545,t_1192,IN_TOPIC
a_100545,t_1193,IN_TOPIC
a_100545,t_1194,IN_TOPIC
a_100549,t_8,IN_TOPIC
a_100549,t_147,IN_TOPIC
a_100549,t_1174,IN_TOPIC
a_100549,t_31,IN_TOPIC
a_100549,t_108,IN_TOPIC
a_100549,t_1,IN_TOPIC
a_100549,t_36,IN_TOPIC
a_100549,t_32,IN_TOPIC
a_100549,t_1180,IN_TOPIC
a_100565,t_1208,IN_TOPIC
a_100565,t_8,IN_TOPIC
a_100565,t_1204,IN_TOPIC
a_100565,t_1174,IN_TOPIC
a_100565,t_1,IN_TOPIC
a_100565,t_17,IN_TOPIC
a_100565,t_13,IN_TOPIC
a_100565,t_36,IN_TOPIC
a_100565,t_1213,IN_TOPIC
a_100565,t_32,IN_TOPIC
a_100565,t_1180,IN_TOPIC
a_100565,t_70,IN_TOPIC
a_100574,t_8,IN_TOPIC
a_100574,t_11,IN_TOPIC
a_100574,t_1195,IN_TOPIC
a_100574,t_15,IN_TOPIC
a_100574,t_1168,IN_TOPIC
a_100574,t_147,IN_TOPIC
a_100574,t_1204,IN_TOPIC
a_100574,t_1174,IN_TOPIC
a_100574,t_1208,IN_TOPIC
a_100574,t_106,IN_TOPIC
a_100574,t_17,IN_TOPIC
a_100574,t_1200,IN_TOPIC
a_100574,t_36,IN_TOPIC
a_100574,t_1118,IN_TOPIC
a_100574,t_61,IN_TOPIC
a_100574,t_1213,IN_TOPIC
a_100574,t_1178,IN_TOPIC
a_100574,t_1175,IN_TOPIC
a_100574,t_1180,IN_TOPIC
a_100574,t_70,IN_TOPIC
a_100574,t_1182,IN_TOPIC
a_100574,t_1193,IN_TOPIC
a_100574,t_1194,IN_TOPIC
a_100574,t_1199,IN_TOPIC
a_100574,t_1160,IN_TOPIC
a_100574,t_1169,IN_TOPIC
a_100575,t_8,IN_TOPIC
a_100575,t_11,IN_TOPIC
a_100575,t_1195,IN_TOPIC
a_100575,t_15,IN_TOPIC
a_100575,t_1204,IN_TOPIC
a_100575,t_1174,IN_TOPIC
a_100575,t_1208,IN_TOPIC
a_100575,t_106,IN_TOPIC
a_100575,t_3,IN_TOPIC
a_100575,t_36,IN_TOPIC
a_100575,t_1213,IN_TOPIC
a_100575,t_1214,IN_TOPIC
a_100575,t_1178,IN_TOPIC
a_100575,t_70,IN_TOPIC
a_100575,t_1182,IN_TOPIC
a_100575,t_1193,IN_TOPIC
a_100575,t_1199,IN_TOPIC
a_100575,t_1131,IN_TOPIC
a_100600,t_1168,IN_TOPIC
a_100600,t_1208,IN_TOPIC
a_100600,t_15,IN_TOPIC
a_100600,t_3,IN_TOPIC
a_100600,t_31,IN_TOPIC
a_100600,t_1185,IN_TOPIC
a_100600,t_1213,IN_TOPIC
a_100600,t_1186,IN_TOPIC
a_100600,t_160,IN_TOPIC
a_100607,t_8,IN_TOPIC
a_100607,t_1195,IN_TOPIC
a_100607,t_1174,IN_TOPIC
a_100607,t_3,IN_TOPIC
a_100607,t_1198,IN_TOPIC
a_100607,t_48,IN_TOPIC
a_100607,t_32,IN_TOPIC
a_100607,t_1180,IN_TOPIC
a_100611,t_8,IN_TOPIC
a_100611,t_1168,IN_TOPIC
a_100611,t_147,IN_TOPIC
a_100611,t_1204,IN_TOPIC
a_100611,t_1174,IN_TOPIC
a_100611,t_31,IN_TOPIC
a_100611,t_48,IN_TOPIC
a_100611,t_32,IN_TOPIC
a_100611,t_1180,IN_TOPIC
a_100611,t_1186,IN_TOPIC
a_100611,t_125,IN_TOPIC
a_100611,t_1205,IN_TOPIC
a_100611,t_1167,IN_TOPIC
a_100611,t_160,IN_TOPIC
a_100661,t_1168,IN_TOPIC
a_100661,t_8,IN_TOPIC
a_100661,t_1174,IN_TOPIC
a_100661,t_31,IN_TOPIC
a_100661,t_29,IN_TOPIC
a_100661,t_48,IN_TOPIC
a_100661,t_1118,IN_TOPIC
a_100661,t_1186,IN_TOPIC
a_100661,t_125,IN_TOPIC
a_100661,t_1173,IN_TOPIC
a_100905,t_147,IN_TOPIC
a_100905,t_1174,IN_TOPIC
a_100905,t_1137,IN_TOPIC
a_100905,t_56,IN_TOPIC
a_100905,t_1176,IN_TOPIC
a_100945,t_8,IN_TOPIC
a_100945,t_11,IN_TOPIC
a_100945,t_15,IN_TOPIC
a_100945,t_1168,IN_TOPIC
a_100945,t_147,IN_TOPIC
a_100945,t_1204,IN_TOPIC
a_100945,t_1174,IN_TOPIC
a_100945,t_3,IN_TOPIC
a_100945,t_1200,IN_TOPIC
a_100945,t_106,IN_TOPIC
a_100945,t_32,IN_TOPIC
a_100945,t_1180,IN_TOPIC
a_100945,t_70,IN_TOPIC
a_100945,t_1193,IN_TOPIC
a_100945,t_1181,IN_TOPIC
a_100945,t_1189,IN_TOPIC
a_100945,t_1160,IN_TOPIC
a_100945,t_1131,IN_TOPIC
a_100956,t_8,IN_TOPIC
a_100956,t_147,IN_TOPIC
a_100956,t_1204,IN_TOPIC
a_100956,t_3,IN_TOPIC
a_100956,t_31,IN_TOPIC
a_100956,t_1160,IN_TOPIC
a_10099,t_11,IN_TOPIC
a_10099,t_1200,IN_TOPIC
a_10099,t_15,IN_TOPIC
a_10099,t_1,IN_TOPIC
a_10099,t_8,IN_TOPIC
a_10099,t_61,IN_TOPIC
a_10099,t_31,IN_TOPIC
a_10099,t_1182,IN_TOPIC
a_10099,t_1193,IN_TOPIC
a_10099,t_1205,IN_TOPIC
a_10099,t_1173,IN_TOPIC
a_101066,t_1195,IN_TOPIC
a_101066,t_147,IN_TOPIC
a_101066,t_1137,IN_TOPIC
a_101066,t_3,IN_TOPIC
a_101066,t_21,IN_TOPIC
a_101066,t_56,IN_TOPIC
a_101085,t_8,IN_TOPIC
a_101085,t_1195,IN_TOPIC
a_101085,t_15,IN_TOPIC
a_101085,t_1168,IN_TOPIC
a_101085,t_147,IN_TOPIC
a_101085,t_31,IN_TOPIC
a_101085,t_21,IN_TOPIC
a_101085,t_160,IN_TOPIC
a_101123,t_8,IN_TOPIC
a_101123,t_15,IN_TOPIC
a_101123,t_1168,IN_TOPIC
a_101123,t_147,IN_TOPIC
a_101123,t_1204,IN_TOPIC
a_101123,t_1174,IN_TOPIC
a_101123,t_1208,IN_TOPIC
a_101123,t_43,IN_TOPIC
a_101123,t_107,IN_TOPIC
a_101123,t_68,IN_TOPIC
a_101123,t_32,IN_TOPIC
a_101123,t_1,IN_TOPIC
a_101123,t_29,IN_TOPIC
a_101123,t_1213,IN_TOPIC
a_101123,t_1175,IN_TOPIC
a_101123,t_1176,IN_TOPIC
a_101123,t_1180,IN_TOPIC
a_101123,t_70,IN_TOPIC
a_101123,t_1193,IN_TOPIC
a_101123,t_1206,IN_TOPIC
a_101123,t_1169,IN_TOPIC
a_101123,t_1172,IN_TOPIC
a_101123,t_1173,IN_TOPIC
a_101133,t_8,IN_TOPIC
a_101133,t_1195,IN_TOPIC
a_101133,t_1174,IN_TOPIC
a_101133,t_43,IN_TOPIC
a_101133,t_21,IN_TOPIC
a_101133,t_36,IN_TOPIC
a_101133,t_116,IN_TOPIC
a_101133,t_148,IN_TOPIC
a_101133,t_32,IN_TOPIC
a_101143,t_1208,IN_TOPIC
a_101143,t_8,IN_TOPIC
a_101143,t_1174,IN_TOPIC
a_101143,t_44,IN_TOPIC
a_101143,t_1,IN_TOPIC
a_101143,t_1213,IN_TOPIC
a_101143,t_1176,IN_TOPIC
a_101143,t_32,IN_TOPIC
a_101143,t_70,IN_TOPIC
a_101146,t_8,IN_TOPIC
a_101146,t_15,IN_TOPIC
a_101146,t_147,IN_TOPIC
a_101146,t_1204,IN_TOPIC
a_101146,t_1174,IN_TOPIC
a_101146,t_1,IN_TOPIC
a_101146,t_17,IN_TOPIC
a_101146,t_70,IN_TOPIC
a_101146,t_32,IN_TOPIC
a_101146,t_1180,IN_TOPIC
a_101146,t_1193,IN_TOPIC
a_101153,t_8,IN_TOPIC
a_101153,t_1204,IN_TOPIC
a_101153,t_1174,IN_TOPIC
a_101153,t_1,IN_TOPIC
a_101153,t_17,IN_TOPIC
a_101153,t_32,IN_TOPIC
a_101153,t_1180,IN_TOPIC
a_101210,t_147,IN_TOPIC
a_101210,t_31,IN_TOPIC
a_101210,t_150,IN_TOPIC
a_101210,t_42,IN_TOPIC
a_101228,t_1168,IN_TOPIC
a_101228,t_1195,IN_TOPIC
a_101228,t_147,IN_TOPIC
a_101228,t_31,IN_TOPIC
a_101228,t_21,IN_TOPIC
a_101228,t_125,IN_TOPIC
a_101228,t_1172,IN_TOPIC
a_101234,t_147,IN_TOPIC
a_101234,t_1174,IN_TOPIC
a_101234,t_107,IN_TOPIC
a_101234,t_26,IN_TOPIC
a_101234,t_19,IN_TOPIC
a_101234,t_32,IN_TOPIC
a_101299,t_8,IN_TOPIC
a_101299,t_1195,IN_TOPIC
a_101299,t_147,IN_TOPIC
a_101299,t_15,IN_TOPIC
a_101299,t_21,IN_TOPIC
a_101299,t_19,IN_TOPIC
a_101299,t_42,IN_TOPIC
a_101299,t_1180,IN_TOPIC
a_101304,t_1168,IN_TOPIC
a_101304,t_1208,IN_TOPIC
a_101304,t_147,IN_TOPIC
a_101304,t_1174,IN_TOPIC
a_101304,t_31,IN_TOPIC
a_101304,t_1137,IN_TOPIC
a_101304,t_108,IN_TOPIC
a_101304,t_54,IN_TOPIC
